Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
mar. 31 mai 2022 - 07:41;Aller boulot;5,22;13m 53s;833;22,57;31,03;30,00;28,57;24,10;;;;;;;;;;;2,56;1,96;1,64;0,41;;
lun. 30 mai 2022 - 14:44;Retour boulot;6,05;19m 02s;1142;19,08;26,47;25,00;24,00;19,59;;;;;;;;;;;11,60;7,92;5,86;1,85;;
lun. 30 mai 2022 - 07:51;Aller boulot;5,25;14m 28s;868;21,78;31,03;30,51;29,03;23,65;;;;;;;;;;;3,12;1,64;1,08;;;
mer. 25 mai 2022 - 18:04;Retour boulot;5,43;14m 17s;857;22,82;34,62;33,33;32,14;24,06;;;;;;;;;;;3,12;2,28;2,12;0,36;;
mer. 25 mai 2022 - 07:33;Aller boulot;5,24;16m 22s;982;19,21;25,00;23,68;22,78;20,16;;;;;;;;;;;2,24;1,80;1,38;0,25;;
mar. 24 mai 2022 - 18:26;Retour boulot;5,34;14m 14s;854;22,51;32,14;32,14;31,30;23,78;;;;;;;;;;;5,20;3,12;2,62;0,64;;
mar. 24 mai 2022 - 07:35;Aller boulot;5,22;16m 41s;1001;18,78;26,47;24,32;21,95;19,65;;;;;;;;;;;2,56;1,68;1,16;;;
lun. 23 mai 2022 - 18:22;Retour boulot;5,27;16m 08s;968;19,61;28,13;26,87;26,47;21,10;;;;;;;;;;;3,68;2,96;2,42;0,50;;
lun. 23 mai 2022 - 07:51;Aller boulot;5,30;16m 38s;998;19,12;27,27;25,35;24,00;19,89;;;;;;;;;;;2,72;2,36;1,82;0,31;;
dim. 22 mai 2022 - 09:15;Vélo du matin;31,25;01h 57m 44s;7064;15,92;32,14;31,58;27,91;21,03;18,68;16,46;;;18,64;16,67;;;;;4,96;3,68;2,62;0,80;0,44;0,25
ven. 20 mai 2022 - 17:39;Retour boulot;5,59;33m 28s;2008;10,03;28,13;28,13;27,27;20,04;;;;;11,03;;;;;;3,12;2,60;1,98;0,19;;
ven. 20 mai 2022 - 07:32;Aller boulot;5,26;16m 34s;994;19,07;25,71;24,00;23,84;20,86;;;;;;;;;;;2,80;1,96;1,60;0,31;;
jeu. 19 mai 2022 - 18:10;Retour boulot;5,72;18m 05s;1085;18,98;28,13;26,87;26,28;20,48;;;;;;;;;;;4,08;2,36;1,50;0,31;;
jeu. 19 mai 2022 - 08:12;Aller boulot;5,29;16m 34s;994;19,15;28,13;25,71;23,68;20,00;;;;;;;;;;;3,76;2,48;0,68;;;
